post_text,label
its just over  years since i was diagnosed with anxiety and depression today im taking a moment to reflect on how far ive come since,1
its sunday i need a break so im planning to spend as little time as possible on the a,1
awake but tired i need to sleep but my brain has other ideas,1
rt sewhq retro bears make perfect gifts and are great for beginners too get stitching with octobers sew on sale now yay httptco,1
its hard to say whether packing lists are making life easier or just reinforcing how much still needs doing movinghouse anxiety,1
making packing lists is my new hobby movinghouse,1
at what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding movinghouse,1
currently in the findingboxesofrandomshit packing phase i think im a closet hoarder,1
cant be bothered to cook take away on the way  lazy,1
rt itventsnews itv releases promo video for the final series of downton abbey httptcomcivezr httptcocfbkrrvjis,1
 also i have too much stuff way way too much movinghouse,1
i never want to put one of these together again lotharderthanitlooks httptcoujltcklb,1
moving stuff is bloomin knackering and theres still loads to do ,1
back at the house moving stuff its so peaceful here i   ,1
urgh anxiety ffs where does it come from breathe,1
i have too much stuff way way too much massive purge on the way,1
hideous traffic on the a must remember to pay closer attention to the traffic reports,1
packing and purging feels good ,1
in bampq looking at internal doors fun times ,1
time to get up so many things to do such a busy day ahead,1
its  do i get up or lie here a little longer with my cat buddy ,1
theres nothing like cocktails and exhaustion to aid a good nights sleep,1
great night out with my favourite ladies much needed after the past few days i love them so much ,1
sat down on the sofa for a quick rest an hour ago need to move,1
how much do i want pizza right now,1
i will always love you peter gabriel  in your eyes httptcofoaexmvoid,1
such a busy day ahead i need to focus but im feeling on the edge of derailment right now,1
even now the smallest thing still makes my heart break i doesnt feel like that ever goes away,1
why is choosing a curtain pole suddenly so confusing too many choices and yes i know this isnt a real problem,1
completed on my house got the keys what a fab day whoop ,1
rt cphighwycombe catsprotection hi  could you retweet our long stayers sammy and suki photographed them todaybuckscatsorguk http,1
big day today ,1
how lovely pandastory httpstcoggavekymp,1
rt sewhq the weather outside is frightfulbut our makes are so delightful heres a sneak peak of october issues projects httptco,1
thats good news at least httpstcoslzaqjr,1
had a headache so took a nap for three hours woke up a bit confused as to time and day ,1
rt deliciousmag on a budget we have  recipes for  or less a head and they dont compromise on flavour httptcocgzpxjlrp htt,1
rt rspca_official rt ncolondon rspca_official please rt for us yr old dog owner getting very distraught over his lost dog  http,1
rt bbccambs flying displays by vintage jets significantly restricted until further notice by caa  limited to fly pasts,1
rt craftsbeautiful happy monday crafters if you need a bit of a pickmeup to get you started check this out httptcoxafwnd ,1
they dont sleep like this now  catsoftwitter httptcosyarrrfa httptcoagjtxf,1
truly so awful  httpstcojilwkco,1
i dont understand this what does it achievepalmyras baalshamin temple blown up by is httptcoxvulgzuq,1
rt designtaxi cigarettes made out of green tea leaves claim to help you quit smoking httptcofmvazdbis httptcohakwgtofo,1
not having to get up in the morning for two whole weeks bliss ,1
i feel like an invisible hand is trying to remove both my eyeballs with a spoon ,1
rt designtaxi hair tapestry is the latest hair trend httptconeqztnqvjj httptcowrjbklcvvo,1
it feels like shoreham coverage and alt media has now gone beyond news to ghoulish,1
thomasevansukip its the mail its entirely their mo mail online is barely news ,1
offensivebanter its so awful ,1
the awfulness of it continues heartbreaking  httpstcowdzelwaah,1
lazy afternoon snooze with my kitty cat lazysunday,1
the pain and heartbreak of tragedy is such a confusing emotion i feel such sadness for my south coast friends shoreham,1
pouring with rain in cambridge that sun didnt last long ,1
rt brightonargus friends of worthingutdfc footballers pay tribute to to their teammates  httptcodtjkxuoj httptcohdrcajc,1
ive done nothing for the last  minute enough i need to stand up and do stuff lazysunday,1
rt craftsbeautiful comfy this sunday morning our cushion blog post will only make you more snug httptcoemsgapbf httptcotiyz,1
rt brightonargus a diversion route likely to remain in place all day after shoreham air crash  httptcopnroqnpgi httptcolflo,1
jackdineen new media highlights the hypocrisy of humans tragedy is global but many choose to ignore whats not on their doorstep x,1
i hope the pilot pulls through theres been enough death today at shoreham  httpstcowhlqepk,1
sarah_booker yorkshireguy i keep seeing comments that the pilot was saved if true i find that quite incredible,1
sarah_booker yorkshireguy urgh awful ,1
yorkshireguy sarah_booker i cant shake the image of the unsuspecting people driving along minding their own business tragically sad,1
sarah_booker this dear god horrific image  awful awful awful  httpstcoggrumnvmm,1
rt bbcbreaking  people confirmed dead after plane crashed into several vehicles on a during shoreham airshow httptcoismqgjyeb,1
sarah_booker bbc reporting  fatalities so far  just so awful,1
toaster shopping is needlessly confusing,1
finding it hard to find a funky decent quality toaster at a reasonable price all silver boring or cheap looking firstworldproblems,1
rt bbcsussex this very sad footage has been released of the shoreham air crash the content is obviously distressing httptcoagswz,1
sarah_booker i had the same thought ,1
what an awful awful tragedy lets hope the casualties are few  httpstcofkrqwxrhp,1
so true  httptcoocwwjuqb,1
sofa shopping whoop ,1
my cat is always overjoyed to see me every morning that kind of love is priceless ,1
jessgrace_ beach trip ,1
jessgrace_ are you going to go,1
its dusk but warm cool  httptcoizfytpbg,1
mrbenbrown awesome motovlogs your commentary is great fun now i want a bike ,1
rt jasonlea dolphins spotted heading east from hove keep a look out brightonargus,1
just finished a service centre call that didnt make me want to cry or punch something good work eon ,1
rt cambridgenewsuk man taken to hospital after suffering arm wrestling injury on mill road httptcoviahxysg,1
eonhelp you too ,1
eonhelp hi thx yes i found it in the end and spoke with a nice helpful young lady all sorted thx,1
eonhelp re my last tweet dont worry spoke to v helpful young lady all sorted thx,1
eonhelp hi im trying to find a number to phone for a new account but cant find it please can you advise thx,1
fragile egos and umbrage taken in a blink i need a break,1
rt dt_kenilworth our dogs are desperate for treatsben and his friends would be so grateful for any donations dogstrust httptcoqe,1
two weeks off i cant fing wait i need to get away from work now,1
rt homemade  things you didnt know you could do with malteasers and they are all epic httptcolmcwqekipp httptcobdeynvmbd,1
feeling a strange mix of excited and sad such a big change looming very liberating in so many ways but lifeischanging,1
this is the last time im going to take this bus to work feels weird,1
 i need to care less but dont want to have a hard heart ,1
i dont know why i allow myself to feel such disappointment in someone even after all this time,1
last day in the office for  weeks whoop ,1
horrible muggy weather cambridge weather,1
not however going to miss living on a road where people drive like lunatics,1
walking home occurs to me that walking home wont be possible soon i will miss that,1
